Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.819309235,64.52053,60.32203,-43.27711,-0.3367308,0.2386127,1.084387,9.476541,-0.1380672,10.03484,1029.473
0.839476109,91.74901,40.49363,-60.24154,-0.2404362,0.1190869,1.058929,7.906402,1.347233,9.576759,1029.473
0.859643936,100.8252,-30.28776,-43.46018,-0.1878579,0.115187,1.109661,7.906402,1.347233,9.576759,1029.473
0.879812241,145.1563,-99.1464,-51.63728,-0.2074302,0.110528,1.003828,5.834242,5.163353,7.79433,1029.473
0.899979115,208.0103,-153.1638,-50.41682,-0.1280909,0.1541764,0.9697623,5.834242,5.163353,7.79433,1029.473
0.920146942,242.7096,-182.9064,-19.05093,-0.0794672,0.30447,0.9615456,3.509013,8.210556,2.857342,1029.473
0.940314293,260.8619,-207.9623,12.92519,0.004000559,0.4540958,0.8906814,3.509013,8.210556,2.857342,1029.473
0.960482121,300.0685,-221.9023,38.98207,0.1077161,0.5566808,0.8444391,3.509013,8.210556,2.857342,1029.473
0.980649948,356.4394,-217.8765,57.59413,0.1801718,0.6421028,0.7538284,0.481813,10.60795,-5.305014,1029.473
1.000817299,374.53,-195.5845,57.04492,0.2155036,0.7147908,0.7487332,0.481813,10.60795,-5.305014,1029.473
1.020985127,332.9155,-145.7131,40.3856,0.2515106,0.58596,0.7142199,-3.300783,10.67459,-13.44781,1029.473
1.041152477,266.9744,-89.47255,46.1828,0.3526321,0.6059504,0.5576234,-3.300783,10.67459,-13.44781,1029.473
1.061320305,218.2595,-64.95743,53.99377,0.3927898,0.6863166,0.3770593,-3.300783,10.67459,-13.44781,1029.473
1.078966618,199.7368,-59.48959,57.7772,0.4642162,0.7494928,0.2719741,-9.999992,5.334922,-19.47268,1029.473
1.099134445,184.2394,-46.33074,60.4012,0.4366346,0.8081478,0.1906404,-9.999992,5.334922,-19.47268,1029.472
1.119301796,132.993,-28.48518,75.71799,0.5574732,0.900452,0.1833119,-16.71504,-0.8061171,-22.36856,1029.472
