Time (s),Roll (deg),Pitch (deg),Yaw (deg)
11.861043930,-54.28024,-9.244743,-15.5504
11.881211281,-53.00601,-15.63793,-17.02874
11.901378632,-50.63651,-21.71709,-19.10006
11.921546459,-46.28246,-27.00242,-22.47176
11.939192772,-40.96059,-30.57633,-26.77285
11.959360123,-34.1685,-33.73548,-32.44561
11.979527950,-27.17363,-35.77939,-39.73175
11.999695301,-20.5824,-37.08761,-49.06276
12.019863129,-14.32387,-37.69532,-59.20725
12.040030479,-8.381003,-37.55557,-69.13585
12.060197353,-3.40614,-36.75009,-78.34909
12.080365181,0.4127796,-35.1978,-87.0614
12.100532532,3.496635,-32.77849,-96.10872
12.120700359,6.358716,-28.81146,-106.0965
12.140867710,8.61447,-22.78192,-116.3545
12.161035538,9.837386,-14.83659,-126.025
12.181202889,8.7281,-6.461355,-135.1381
12.201369762,5.414509,0.9498622,-143.9043
12.221537590,1.274631,6.699662,-152.1186
12.239184380,-3.260433,10.29361,-158.8383
12.259351730,-9.285856,12.66874,-165.5772
12.279519558,-15.09008,13.36651,-171.2155
12.299686432,-19.65011,12.75658,-175.6495
12.319853783,-23.10075,10.8882,-178.3719
12.340021610,-25.91994,7.835026,-179.5629
12.360188961,-28.986,3.749806,-179.2968
12.380356788,-32.53901,-0.9085561,-177.8344
12.400524139,-37.26136,-5.996601,-175.4227
12.420691967,-42.92422,-11.23457,-171.889
12.440859318,-49.86067,-16.44851,-166.8946
12.461026192,-58.37228,-21.25672,-160.2541
12.481194019,-68.12634,-25.01292,-152.2193
12.501361370,-77.77466,-27.08859,-143.4496
12.521529198,-86.71323,-27.06769,-134.4841
12.539175987,-93.53121,-25.13981,-127.0108
12.559342861,-99.58492,-20.68757,-119.3976
12.579510212,-103.1727,-13.75043,-112.6652
12.599678039,-103.3866,-4.105619,-106.5015
12.619845390,-100.4244,7.735761,-100.1176
12.640013218,-95.0011,19.65691,-92.07107
12.660180569,-87.71355,30.23303,-81.17685
12.680348396,-78.17651,37.64029,-66.38043
12.700515270,-67.51764,40.42087,-49.09242
12.720682621,-57.50378,39.257,-34.19805
12.740850449,-49.34882,35.45332,-24.5284
12.761017799,-43.53741,29.66192,-18.56204
12.781185627,-39.49496,22.4724,-15.426
12.801352978,-36.74553,14.41973,-13.96869
12.821519852,-35.10761,5.934736,-14.01747
12.839166641,-34.42196,-1.639807,-15.1692
12.859334469,-33.86091,-9.962911,-17.66219
12.879501820,-33.63956,-17.92951,-21.39205
12.899669647,-32.44238,-25.53674,-27.08565
12.919836998,-28.47561,-32.22395,-35.83751
12.940003872,-21.38063,-37.2527,-48.47509
12.960171700,-12.1734,-39.37583,-65.32554
12.980339050,-1.876938,-37.19688,-84.83266
13.000506878,7.059462,-30.54156,-103.5672
13.020674229,11.74453,-21.06994,-119.378
13.040841579,11.73221,-11.14499,-132.7462
13.061009407,7.70719,-2.360729,-144.2991
13.081176281,1.019527,4.090198,-153.479
13.101344109,-6.531318,7.347557,-159.8356
13.121511459,-14.22821,6.855266,-162.8701
13.141679287,-21.57252,2.949284,-162.2437
13.159326077,-28.3902,-2.711349,-159.1519
13.179492950,-38.96462,-10.46233,-152.3051
13.199660301,-54.08426,-17.47428,-140.877
13.219828129,-71.3709,-20.37391,-125.7984
13.239995480,-85.73386,-17.70098,-110.5051
13.260163307,-93.83163,-10.42564,-97.81616
13.280330658,-97.22665,0.4763753,-87.53975
13.300497532,-95.6415,13.88869,-78.23351
13.320665836,-87.35963,25.38936,-68.57741
13.340832710,-75.23047,32.46666,-56.23382
13.361000538,-62.93317,35.46341,-40.27233
13.381167888,-52.837,34.29664,-26.98944
13.401335239,-47.04817,30.34309,-21.62918
13.421503067,-44.08858,25.45418,-21.20778
13.441670418,-42.09522,19.39571,-22.47449
13.459316730,-40.28986,12.666,-23.96057
13.479484558,-37.87983,3.920229,-25.58837
13.499651909,-35.25803,-5.753047,-27.49499
13.519819260,-32.63615,-15.82755,-30.80225
13.539987087,-29.21886,-25.60333,-36.9736
13.560153961,-21.66094,-33.22191,-47.87741
13.580321789,-9.685378,-36.07172,-62.46313
13.600489139,0.9571362,-34.06429,-77.06181
13.620656490,6.098739,-29.02989,-89.57066
13.640824318,6.714795,-22.43408,-100.6337
13.660991669,6.670254,-14.89673,-111.5061
13.681158543,7.842,-6.839856,-122.3228
13.701326370,8.961459,0.7118461,-131.9244
13.721493721,7.419035,6.333506,-139.297
13.741661549,3.666637,9.012819,-145.1526
13.759308338,0.8268582,9.919038,-149.4989
13.779475212,-1.698546,9.662019,-153.2235
13.799642563,-4.534561,7.884138,-155.8565
13.819810390,-7.370709,4.85888,-157.4992
13.839977741,-10.2984,1.056592,-158.2891
13.860145569,-13.34913,-3.238949,-158.0946
13.880312920,-16.6649,-7.807421,-156.9814
13.900479794,-20.72516,-12.61294,-154.4793
13.920647621,-25.93615,-17.33966,-150.1574
13.940814972,-33.19353,-21.30218,-142.8707
13.960982800,-42.37325,-23.50758,-132.3111
13.981150150,-51.79284,-23.10983,-119.8566
14.001317501,-60.1621,-20.2838,-107.4079
14.021485329,-67.41763,-15.34666,-95.592
14.041652203,-72.45226,-8.640196,-84.43716
14.059298992,-74.44687,-1.685205,-75.02924
14.079466343,-73.7834,6.583747,-64.33807
14.099634171,-69.78697,13.99692,-54.55389
14.119801044,-63.45319,20.13295,-45.61495
14.139969349,-56.4434,24.66256,-36.52449
14.160136223,-50.00746,27.07949,-27.00029
14.180303574,-44.47226,26.9126,-17.94847
14.200471401,-40.55436,24.45091,-10.50412
14.220638752,-38.48086,20.55318,-5.389657
14.240805626,-38.12296,15.69462,-2.9831
14.260973930,-38.42247,10.18598,-2.323827
14.281140804,-38.6471,4.142812,-2.999331
14.301308632,-38.50711,-2.309881,-4.777232
14.321475983,-38.08488,-8.97227,-7.903547
14.341643333,-37.24878,-15.52866,-12.6397
14.359289646,-35.60595,-20.85675,-18.50299
14.379457474,-32.58001,-26.12256,-27.34937
14.399624824,-28.38285,-30.03521,-38.28852
14.419792175,-22.63587,-32.35521,-51.70819
14.439960003,-14.63759,-32.93717,-67.736
14.460127354,-4.953384,-31.11877,-85.55158
14.480295181,4.704537,-26.22771,-103.1039
14.500462055,11.48357,-18.92686,-118.1967
14.520629406,13.64378,-11.43354,-129.9089
14.540797233,12.39448,-5.355793,-139.2511
14.560964584,9.848904,-1.154985,-146.9827
14.581131935,6.399302,1.441578,-153.6598
14.601299763,3.225358,3.03087,-159.5051
14.621466637,1.137877,3.672982,-163.8167
14.641634464,-0.945534,3.181948,-166.6763
14.659280777,-2.867974,1.958034,-168.6465
14.679448605,-4.594172,0.1962584,-170.5451
14.699615478,-5.741881,-1.654433,-171.9124
14.719783306,-6.344883,-3.359143,-173.0159
14.739950657,-6.906454,-5.364432,-174.103
14.760118008,-7.815496,-7.959842,-175.0284
14.780285835,-9.419751,-11.35705,-175.6716
14.800453186,-11.1299,-15.49186,-175.991
14.820620060,-12.96387,-20.077,-175.8566
14.840787888,-15.53823,-25.12728,-174.9756
14.860955238,-19.62111,-30.64111,-172.8072
14.881123066,-25.53846,-36.45089,-168.9009
14.901290417,-32.86283,-41.75377,-163.2419
14.921457767,-41.67161,-45.83614,-155.4052
14.941625595,-52.09035,-47.86028,-145.3536
14.959271908,-61.90848,-47.54328,-135.4174
14.979439259,-72.18608,-44.68792,-124.4477
