Time (s),W,X,Y,Z
2.039448261,0.6757655,-0.5399777,0.4567852,0.1993493
2.059616089,0.6580353,-0.5456617,0.45988,0.233197
2.079783916,0.6363671,-0.5524228,0.4641044,0.266647
2.099951267,0.6140706,-0.5571516,0.4683262,0.2996621
2.120119095,0.5920458,-0.5574283,0.472769,0.3344736
2.140285969,0.5705356,-0.5537734,0.477385,0.3695337
2.160453796,0.5490718,-0.5485263,0.4811315,0.4034591
2.180621147,0.5312881,-0.5412529,0.483458,0.4332136
2.200788975,0.5217965,-0.5287614,0.4850415,0.457714
2.220956802,0.5273241,-0.5059353,0.4822664,0.4795887
2.241124153,0.5370511,-0.4704888,0.4796503,0.5067343
2.261291981,0.5503352,-0.4270257,0.4729909,0.5363647
2.281459332,0.5724277,-0.3735811,0.4555358,0.5673432
2.299105644,0.5896493,-0.3236268,0.4348102,0.5959419
2.319273472,0.6089686,-0.265539,0.4005274,0.6283723
2.339441776,0.6272933,-0.2050062,0.3546566,0.6597891
2.359608650,0.6448321,-0.1442219,0.2999382,0.6856062
2.379776478,0.6598169,-0.08197614,0.2371003,0.7059265
2.399943828,0.6730745,-0.01854774,0.1695651,0.7172877
2.420111656,0.6840542,0.04330174,0.1044882,0.7182649
2.440279484,0.6903795,0.09783123,0.05030658,0.7126723
2.460446834,0.6953725,0.1403779,0.008735673,0.7023549
2.480614662,0.7011479,0.1737064,-0.02220675,0.6887323
2.500782013,0.7073412,0.1985226,-0.04472762,0.6744513
2.520949840,0.7140782,0.2192844,-0.06451528,0.6591449
2.541117191,0.7209734,0.2383374,-0.08544711,0.6424321
2.561285019,0.7289646,0.2552304,-0.1075428,0.623322
2.581452846,0.7378159,0.2736959,-0.1324308,0.5998401
2.599099159,0.7464296,0.28916,-0.156434,0.5756609
2.619266510,0.7542687,0.3039289,-0.1858955,0.5484308
2.639434338,0.7583634,0.3197507,-0.2132358,0.5232615
2.659601688,0.7613406,0.3352057,-0.234062,0.49984
2.679769516,0.766885,0.3459778,-0.2481356,0.4767003
2.699937344,0.7759935,0.3522903,-0.2573981,0.4517738
2.720104694,0.7857661,0.3549118,-0.2630314,0.4290121
2.740272522,0.7933934,0.3608267,-0.2649137,0.4083859
2.760439396,0.8026656,0.3645516,-0.2647757,0.3864604
2.780607700,0.8151989,0.3630308,-0.2632931,0.3618892
2.800774574,0.8294034,0.3591271,-0.2583221,0.3361769
2.820942402,0.846073,0.3503198,-0.2467665,0.3117216
2.841110229,0.8594154,0.3474769,-0.235798,0.285818
2.861277580,0.8719624,0.3448656,-0.2249664,0.2583929
2.881445408,0.8823979,0.3460254,-0.2136067,0.2294348
2.899092197,0.8910789,0.3465836,-0.2026769,0.2034895
2.919259071,0.9013783,0.3442774,-0.1880495,0.1739403
2.939427376,0.912791,0.3380863,-0.1699659,0.1423009
2.959595203,0.9255811,0.3236444,-0.1501412,0.1124241
2.979762077,0.9382397,0.3040543,-0.1294254,0.08446208
2.999929905,0.9480023,0.2882112,-0.10745,0.05751621
3.020097256,0.9557034,0.2745432,-0.08314986,0.031156
3.040265083,0.9629647,0.2588465,-0.04695917,0.01095303
3.060432434,0.9686075,0.2404573,-0.02280267,-0.009351758
3.080600262,0.9729752,0.2206013,-0.01264325,-0.03349757
3.100768089,0.9778673,0.1940141,0.0003461358,-0.05255049
3.120935440,0.9828756,0.161887,0.0193867,-0.06324539
3.141103268,0.9868476,0.127348,0.03761038,-0.07160433
3.161270618,0.9891829,0.09281809,0.05661013,-0.07952807
3.181438446,0.9890217,0.05795922,0.09329969,-0.07999609
3.199084759,0.9864256,0.02470576,0.1310231,-0.07625397
3.219252110,0.9799184,-0.02006135,0.1762978,-0.07002779
3.239419937,0.9685671,-0.07162758,0.223194,-0.05965708
3.259587765,0.9521815,-0.1255566,0.2677728,-0.05011099
3.279755116,0.9324688,-0.1772982,0.3069763,-0.03821514
3.299922943,0.911417,-0.2238315,0.339447,-0.02493806
3.320090294,0.8913596,-0.2616307,0.3655155,-0.007316166
3.340258121,0.86983,-0.3019564,0.3853907,0.01788175
3.360425949,0.8510846,-0.3372853,0.3958291,0.04290142
3.380593300,0.8348625,-0.3652299,0.4003383,0.07725624
3.400761127,0.8181145,-0.3902487,0.4023322,0.1146777
3.420928001,0.7995955,-0.4149584,0.4019548,0.1533508
3.441095829,0.7830151,-0.4341015,0.3984799,0.1904846
3.461263180,0.7694483,-0.4447814,0.3934801,0.227859
