Time (s),Altitude (m)
11.729954719,-138.3867
11.780374050,-138.3867
11.830792427,-138.4085
11.881211281,-138.3922
11.929109097,-138.3812
11.979527950,-138.3648
12.029946327,-138.3648
12.080365181,-138.414
12.130783558,-138.3976
12.181202889,-138.3976
12.229100227,-138.3976
12.279519558,-138.4304
12.329937935,-138.4413
12.380356788,-138.4741
12.430775165,-138.4905
12.481194019,-138.5014
12.529091835,-138.4851
12.579510212,-138.4632
12.629929066,-138.4796
12.680348396,-138.4796
12.730766773,-138.5014
12.781185627,-138.5124
12.829083443,-138.5069
12.879501820,-138.5014
12.929920673,-138.5342
12.980339050,-138.5069
13.030757904,-138.4905
13.081176281,-138.5179
13.129074097,-138.5124
13.179492950,-138.5397
13.229911327,-138.5342
13.280330658,-138.5288
13.330749035,-138.5233
13.381167888,-138.567
13.429065704,-138.5616
13.479484558,-138.5944
13.529902935,-138.5834
13.580321789,-138.567
13.630740166,-138.578
13.681158543,-138.5944
13.729056835,-138.5834
13.779475212,-138.5944
13.829894543,-138.6053
13.880312920,-138.6108
13.930731297,-138.6381
13.981150150,-138.6326
14.029047966,-138.6326
14.081987381,-138.6381
14.129885197,-138.6162
14.180303574,-138.6108
14.230722427,-138.6217
14.281140804,-138.6162
14.329038620,-138.5944
14.381978512,-138.6053
14.429875851,-138.5998
14.480295181,-138.6108
14.530713558,-138.6436
14.581131935,-138.6381
14.629029274,-138.6654
14.679448605,-138.6763
14.729866981,-138.6709
14.780285835,-138.7091
14.830704212,-138.7201
14.881123066,-138.7146
14.929020405,-138.7091
14.979439259,-138.7201
