Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
2.919259071,216.8277,0.9687769,50.94604
2.939427376,236.4949,1.031013,50.94604
2.959595203,247.1106,1.0038,50.85087
2.979762077,242.366,1.156651,50.85087
2.999929905,229.9053,1.210237,50.85087
3.020097256,226.4039,1.251556,50.11534
3.040265083,277.6927,1.637228,50.11534
3.060432434,190.2007,1.503654,48.46349
3.080600262,200.8935,1.302952,48.46349
3.100768089,214.6985,1.296676,46.30313
3.120935440,233.7221,1.372635,46.30313
3.141103268,236.029,1.376996,46.30313
3.161270618,257.4066,1.047864,44.77709
3.181438446,320.9081,1.258645,44.77709
3.199084759,349.1775,1.168632,43.79394
3.219252110,392.7926,1.071828,43.79394
3.239419937,427.5071,0.9796076,43.79394
3.259587765,422.1609,0.8752566,42.88397
3.279755116,395.0389,0.7888033,42.88397
3.299922943,354.2243,0.7834368,41.24614
3.320090294,325.9861,0.5933551,41.24614
3.340258121,323.8473,0.5144651,41.24614
3.360425949,278.0578,0.4837095,42.71847
3.380593300,256.6826,0.4679365,42.71847
3.400761127,253.659,0.5834355,44.26744
3.420928001,253.0426,0.643095,44.26744
3.441095829,223.1754,0.7284725,45.47102
3.461263180,209.4617,0.8467915,45.47102
3.481431007,221.3331,0.9475096,45.47102
3.499077797,248.2246,1.143232,46.54825
3.519245624,314.991,1.142382,46.54825
3.539412975,329.9831,1.220905,47.36361
3.559580803,293.697,1.21844,47.36361
3.579747677,278.0787,1.238718,47.36361
3.599915504,276.4161,1.278056,47.93414
3.620082855,274.1653,1.29241,47.93414
3.640250683,261.7118,1.210802,48.88187
3.660418510,259.9583,1.167156,48.88187
3.680585861,272.8772,1.177088,49.06713
3.700753689,300.4965,1.181231,49.06713
3.720921040,312.2021,1.184526,49.06713
3.741088867,308.7298,1.195297,51.54393
3.761256218,298.9886,1.212175,51.54393
3.781424046,296.809,1.177648,53.48704
3.799070358,306.1384,1.169877,53.48704
3.819238186,345.2179,1.221029,53.48704
3.839405537,415.2105,1.254565,54.8544
3.859573364,446.7802,1.30802,54.8544
3.879740715,468.3644,1.352305,53.75236
3.899908543,481.6684,1.354624,53.75236
3.920076370,475.5169,1.332131,53.75236
3.940243721,428.6773,1.255652,50.5469
3.960411549,415.5573,1.126808,50.5469
3.980578423,412.5649,1.1094,50.63562
4.000746727,423.3359,1.029071,50.63562
4.020913601,420.8576,0.9432485,51.05086
4.041081429,411.5818,0.8490599,51.05086
4.061249256,412.6863,0.7511346,51.05086
4.081416607,405.6132,0.7117674,53.39731
4.099063396,392.1574,0.6629395,53.39731
4.119231224,370.1678,0.6408422,54.34959
4.139398098,338.8568,0.7406543,54.34959
4.159566402,330.1994,0.8801733,54.34959
4.179733276,329.2141,1.05811,55.15867
4.199901104,295.9145,1.045639,55.15867
4.220068932,286.6727,1.000753,55.42144
4.240236282,318.9143,0.9565639,55.42144
4.260404110,365.498,1.021018,55.42144
4.280571461,414.0448,1.134503,54.79236
4.300739288,415.1683,1.209671,54.79236
4.320906639,387.9684,1.314657,55.44836
4.341074467,367.0574,1.395653,55.44836
4.361241817,262.9904,1.492118,53.8916
4.381409645,194.1128,1.458064,53.8916
4.399055958,171.8805,1.388204,53.8916
4.419223785,180.0991,1.275938,50.84958
4.439391136,197.9006,1.194106,50.84958
4.459558964,212.5878,1.174363,48.05602
4.479726314,226.4011,1.764615,48.05602
4.499894142,201.8744,1.18522,48.05602
4.520061493,253.8994,1.012262,47.60167
4.540229320,261.3595,1.140527,47.60167
4.560397148,277.7806,1.165973,45.66911
4.580564022,254.8456,1.245014,45.66911
4.600732326,247.7697,1.277931,45.19418
4.620899200,278.8022,1.143586,45.19418
4.641067028,339.0762,1.155745,45.19418
4.661234379,404.1938,1.02345,43.98173
4.681402206,460.8488,0.8631223,43.98173
4.699048996,436.3516,0.8172277,43.24294
4.719216824,413.1737,0.7486758,43.24294
4.739383697,395.1613,0.7441451,43.24294
4.759552002,381.8012,0.7539065,43.72118
4.779718876,373.7722,0.8753031,43.72118
4.799886703,344.1226,0.8439193,44.59412
4.820054054,323.014,0.8392929,44.59412
4.840221882,294.1897,0.8427567,44.59412
4.860389233,269.7899,0.8003605,44.33992
4.880557060,251.7005,0.7611176,44.33992
4.900724888,242.1022,0.7246113,45.01019
4.920892239,240.3144,0.8818188,45.01019
4.941060066,300.9212,0.8249318,45.87342
4.961227417,299.4944,0.8735628,45.87342
4.981395245,328.507,0.9171379,45.87342
4.999041557,352.4526,1.03393,46.80056
5.019208908,373.9137,1.131314,46.80056
5.039376736,366.0716,1.156124,46.97725
5.059544563,331.2725,1.296992,46.97725
5.079711914,330.0341,1.31135,46.97725
5.099879742,286.8145,1.254786,47.51497
5.120047092,253.5205,1.168294,47.51497
5.140214920,247.2104,1.166175,49.57271
5.160381794,251.5259,1.159747,49.57271
5.180549622,246.8466,1.068536,49.57271
5.200716972,251.305,1.045514,51.545
5.220884800,257.256,1.118571,51.545
5.241052151,241.6252,1.098099,53.86743
5.261219978,235.2147,1.102265,53.86743
5.281387329,261.4611,1.141307,55.90472
5.299034596,322.1328,1.197459,55.90472
5.319201469,371.4228,1.267509,55.90472
5.339369297,375.8865,1.293861,58.73286
5.359536648,364.2084,1.33565,58.73286
5.379704475,350.2803,1.38221,57.85413
5.399871826,359.1805,1.325408,57.85413
5.420039654,383.7166,1.279129,57.85413
5.440207004,415.8282,1.216712,56.98821
5.460374832,432.8533,1.089935,56.98821
5.480541706,449.2671,1.014277,56.9779
5.500710010,460.0159,0.8951742,56.9779
5.520877838,438.075,0.7786227,56.9779
5.541044712,410.7757,0.6899176,57.93394
5.561212540,400.1513,0.6775286,57.93394
5.581379890,424.821,0.733873,58.02631
5.599026680,466.1266,0.842869,58.02631
5.619194508,523.1782,1.013345,55.99455
5.639361381,530.235,0.9363258,55.99455
5.659529686,442.2277,0.8087339,55.99455
5.679696560,308.3603,0.7910881,55.17023
5.699864387,222.6982,0.8446211,55.17023
5.720031738,204.839,0.8489394,55.27699
5.740199566,214.898,0.810263,55.27699
5.760367393,220.1481,0.7033067,55.27699
5.780534744,225.6441,0.6996074,54.56097
5.800702572,252.6048,0.7657058,54.56097
5.820869923,300.5676,0.7483699,54.42413
5.841037750,324.7032,0.9411392,54.42413
5.861205101,276.4612,1.138783,56.86715
5.881372929,254.8309,1.106743,56.86715
5.899019241,226.181,1.191721,56.86715
5.919186592,215.1836,1.164452,58.27437
5.939354420,212.7601,1.131668,58.27437
5.959522247,208.6965,1.115704,57.44757
5.979689598,197.3327,1.18806,57.44757
5.999857426,174.0457,1.216761,57.44757
6.020024776,152.8017,1.169968,56.36239
6.040192604,141.8348,1.138688,56.36239
6.060359478,142.6455,1.101032,52.96162
6.080527306,149.4443,1.159377,52.96162
6.100694656,149.9719,1.14499,52.96162
6.120862484,143.1951,1.165646,51.91761
6.141029835,136.558,1.170865,51.91761
6.161197662,149.674,1.178292,49.3631
6.181365013,180.9993,1.200263,49.3631
6.199011326,262.9,1.559867,49.3631
6.219179153,261.392,1.209925,48.346
6.239346504,329.4539,1.156579,48.346
6.259514332,366.4613,1.297897,46.93251
6.279682159,322.7921,1.272842,46.93251
6.299849510,320.2713,1.314327,45.26942
6.320017338,324.1329,1.292638,45.26942
6.340184688,345.619,1.249999,45.26942
6.360352516,372.7552,1.163556,44.94928
6.380519867,360.714,1.147958,44.94928
6.400687694,340.6123,0.9610364,45.50669
6.420854568,317.3214,0.9768512,45.50669
6.441022396,289.5964,1.022722,45.50669
6.461189747,248.9175,1.013547,44.89368
6.481357574,225.0292,1.062498,44.89368
6.499004364,214.8912,1.04966,46.91964
6.519171238,222.3341,1.058116,46.91964
6.539339542,229.6412,0.9903594,47.51758
6.559506416,232.4155,0.9705002,47.51758
6.579674244,231.8793,0.8833957,47.51758
6.599841595,225.8524,0.848413,48.53387
6.620009422,219.6591,0.8496975,48.53387
6.640177250,213.9473,0.8547944,48.88162
6.660344601,217.5605,0.9150884,48.88162
6.680512428,222.8834,0.8951358,48.88162
6.700679779,222.0148,0.942429,50.0476
6.720847607,226.1534,0.9271615,50.0476
6.741014957,228.8547,0.9178873,50.54634
6.761182785,224.9042,0.8412825,50.54634
6.781349659,214.8759,0.8092109,50.54634
6.798996448,210.411,0.7730428,50.07919
6.819164276,200.0323,0.787033,50.07919
6.839331627,196.9906,0.702059,50.74628
6.859499454,190.4573,0.7445757,50.74628
6.879666328,188.8812,0.845161,49.53741
6.899834633,210.5397,0.8375317,49.53741
6.920001507,220.6842,0.6535165,49.53741
6.940169334,231.36,0.6756042,49.88034
6.960336685,255.8999,0.7118905,49.88034
6.980504513,280.0845,0.8722375,50.99
7.000671864,290.4076,1.025307,50.99
7.020839691,279.9256,1.097676,50.99
7.041007042,255.4727,1.211597,52.56678
7.061174870,232.0246,1.273852,52.56678
7.081341743,211.5984,1.268869,53.92325
7.098988533,191.1727,1.343157,53.92325
7.119156361,178.6961,1.330387,53.92325
7.139323711,185.4387,1.505898,55.40643
7.159491539,212.5329,1.511728,55.40643
7.179659367,238.7513,1.526482,55.75658
7.199826717,247.653,1.567892,55.75658
7.219994545,269.7928,1.532565,54.2394
7.240161419,298.1751,1.521349,54.2394
7.260329723,333.9291,1.494592,54.2394
7.280496597,370.9932,1.471807,53.16277
7.300664425,402.135,1.401099,53.16277
7.320831776,419.8162,1.254233,52.80555
7.340999603,434.4331,1.133521,52.80555
7.361166954,453.1101,0.9561375,52.80555
7.381334782,465.8086,0.8188534,51.57063
7.398981094,477.1802,0.7388529,51.57063
7.419148445,498.5038,0.6324714,50.50016
7.439316273,493.7053,0.4646712,50.50016
7.459483623,451.944,0.3674709,50.50016
7.479651451,421.0648,0.4432293,48.73067
7.499818802,416.4922,0.3756618,48.73067
7.519986629,379.1489,0.3019605,47.53845
7.540153503,333.509,0.3287813,47.53845
7.560321808,297.0235,0.3780806,45.96072
7.580488682,308.9076,0.4623296,45.96072
7.600656509,339.4377,0.6570293,45.96072
7.620823860,350.5641,0.8212144,44.04752
7.640991688,382.307,0.8124812,44.04752
7.661159038,406.1604,0.9022498,44.21289
7.681326866,394.8669,1.006476,44.21289
7.698973179,377.7745,1.132192,44.21289
7.719140530,362.3495,1.226414,46.46545
7.739308357,313.5453,1.330409,46.46545
7.759475708,304.2526,1.435526,53.22495
7.779643536,309.3104,1.496231,53.22495
7.799810886,313.1691,1.472252,58.22579
7.819978714,298.1455,1.505657,58.22579
7.840146065,265.4145,1.47879,58.22579
7.860313892,214.2384,1.480459,59.2859
7.880480766,219.5979,1.446028,59.2859
7.900648594,205.1776,1.389648,56.42704
7.920815945,205.9801,1.393586,56.42704
7.940983772,217.2284,1.425655,56.42704
7.961151123,234.6988,1.449097,55.24206
7.981318951,248.2697,1.440159,55.24206
8.001486301,260.6433,1.481076,53.35391
8.019132614,270.2451,1.446219,53.35391
8.039300442,281.2614,1.44278,53.35391
