Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
12.960171700,705.4304,0.9902715,52.12512
12.980339050,791.4517,1.118356,52.12512
13.000506878,823.9045,1.382623,56.62182
13.020674229,805.7605,1.606403,56.62182
13.040841579,778.9813,1.901304,62.82838
13.061009407,702.0663,2.11834,62.82838
13.081176281,575.4582,2.253611,62.82838
13.101344109,445.3842,2.404286,61.98324
13.118990898,405.3771,2.383256,61.98324
13.139158249,449.1022,2.273522,56.92577
13.159326077,594.3353,2.146569,56.92577
13.179492950,803.3356,1.951836,55.891
13.199660301,953.2797,1.696346,55.891
13.219828129,943.6469,1.373807,55.891
13.239995480,819.2426,0.9767027,60.84905
13.260163307,742.7601,0.8391222,60.84905
13.280330658,776.1728,1.06656,69.90457
13.300497532,795.7864,1.563277,69.90457
13.320665836,732.1175,1.826867,69.90457
13.340832710,694.0968,2.274771,64.64581
13.361000538,688.9062,2.273013,64.64581
13.381167888,460.157,2.194854,63.88572
13.401335239,296.1884,1.946681,63.88572
13.418981552,296.6348,1.560866,63.88572
13.439149380,359.5418,1.211979,59.06282
13.459316730,439.2627,1.104149,59.06282
13.479484558,489.4941,0.9909353,56.52412
13.499651909,536.6612,0.9804239,56.52412
13.519819260,561.9938,1.102437,54.32489
13.539987087,613.0479,1.047108,54.32489
13.560153961,655.825,1.035675,54.32489
13.580321789,647.0098,0.8271846,53.36312
13.600489139,585.1901,0.757799,53.36312
13.620656490,580.177,0.8667682,55.18571
13.640824318,606.8988,1.028401,55.18571
13.660991669,630.3442,1.212583,55.18571
13.681158543,625.4043,1.283808,55.76339
13.701326370,540.2072,1.624491,55.76339
13.718973160,411.8518,1.625281,57.38058
13.739140510,332.242,1.679744,57.38058
13.759308338,248.6626,1.711502,57.38058
13.779475212,209.5183,1.680277,56.23669
13.799642563,216.8885,1.508788,56.23669
13.819810390,235.3635,1.418997,58.01004
13.839977741,256.954,1.358622,58.01004
13.860145569,270.0355,1.303137,57.51076
13.880312920,299.3782,1.284083,57.51076
13.900479794,341.0964,1.201337,57.51076
13.920647621,410.7906,1.211724,58.54322
13.940814972,511.0852,1.183326,58.54322
13.960982800,599.9686,1.126786,58.50666
13.981150150,630.4426,1.005739,58.50666
14.001317501,641.6942,0.898275,58.50666
14.018963814,658.1098,0.8169018,62.21329
14.039131641,669.7465,0.9218818,62.21329
14.059298992,680.5375,1.045428,67.55234
14.079466343,667.4014,1.141242,67.55234
14.099634171,588.9833,1.290809,66.97667
14.119801044,542.1496,1.155737,66.97667
14.139969349,491.0956,1.196355,66.97667
14.160136223,452.3203,1.253781,64.31663
14.180303574,400.208,1.303177,64.31663
14.200471401,338.732,1.296631,59.95177
14.220638752,277.2957,1.300086,59.95177
14.240805626,267.343,1.309115,59.95177
14.260973930,292.4621,1.273095,55.85035
14.281140804,328.0112,1.254591,55.85035
14.301308632,367.0578,1.2105,52.76767
14.318955422,399.0507,1.239124,52.76767
14.339122772,436.2979,1.273795,52.76767
14.359289646,483.2818,1.191514,50.3819
14.379457474,523.0714,1.125755,50.3819
14.399624824,549.5787,1.091996,49.82499
14.419792175,618.3165,1.080623,49.82499
14.439960003,692.1766,1.189579,51.68879
14.460127354,765.425,1.225494,51.68879
14.480295181,782.1537,1.224844,51.68879
14.500462055,719.2423,1.316369,56.83436
14.520629406,599.7842,1.406932,56.83436
14.540797233,501.0854,1.447407,59.05642
14.560964584,413.8166,1.529223,59.05642
14.581131935,371.7785,1.615176,59.05642
14.601299763,298.9801,1.630498,59.75492
14.618946075,218.6351,1.648171,59.75492
14.639113426,177.2191,1.570536,58.36406
14.659280777,173.2397,1.402597,58.36406
14.679448605,160.5228,1.314153,58.36406
14.699615478,126.416,1.257854,58.04914
14.719783306,118.0901,1.258435,58.04914
14.739950657,136.8511,1.29941,58.28341
14.760118008,172.7838,1.310421,58.28341
14.780285835,216.2868,1.274206,55.7367
14.800453186,241.7386,1.237289,55.7367
14.820620060,263.6501,1.202794,55.7367
14.840787888,304.9861,1.218187,53.31369
14.860955238,361.6408,1.122295,53.31369
14.881123066,404.3443,0.9976469,51.22865
14.901290417,400.2882,0.8202211,51.22865
14.918936729,399.8231,0.7272675,51.22865
14.939104080,411.4837,0.7253488,51.45759
14.959271908,430.8109,0.4598208,51.45759
14.979439259,455.4699,0.2804659,52.76639
